time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-30T07:39:29.310Z,48.5865,-123.3003333,52.521,4.79,ml,27,81,0.1167,0.19,uw,uw61114971,2016-03-27T06:53:13.880Z,"17km NNE of Victoria, Canada",earthquake,0.43,0.67,0.137,178,reviewed,uw,uw
2015-12-30T01:48:57.310Z,34.191,-117.4131667,6.98,4.4,mw,173,23,0.08052,0.25,ci,ci37507576,2016-03-18T01:13:07.040Z,"4km SSW of Devore, CA",earthquake,0.14,0.51,,6,reviewed,ci,ci
2015-12-29T11:39:19.200Z,35.6654,-97.4054,6.532,4.3,mwr,,53,,0.78,us,us10004a85,2016-03-18T01:13:06.040Z,"6km ENE of Edmond, Oklahoma",earthquake,3.6,5,0.033,88,reviewed,tul,us
2015-12-28T15:10:30.588Z,41.4562,-118.905,17.7,4.1,ml,13,83.52,0.83,0.1615,nn,nn00524306,2016-03-18T01:13:05.040Z,"65km SSW of Denio Junction, Nevada",earthquake,2.39,6.7,0.23,9,reviewed,nn,nn
2015-12-27T19:24:56.620Z,25.6559,-120.9243,10,4.9,mb,,196,7.229,1.39,us,us100049yu,2016-04-15T00:59:18.000Z,"North Pacific Ocean",earthquake,10.4,1.9,0.075,56,reviewed,us,us
2015-12-27T18:31:18.030Z,35.2143333,-117.2815,3.17,4.25,mw,107,28,0.1914,0.14,ci,ci37506472,2016-03-18T01:13:03.040Z,"37km ESE of Johannesburg, CA",earthquake,0.1,0.49,,6,reviewed,ci,ci
2015-12-24T20:30:38.087Z,41.8807,-119.5937,11.3,4.4,ml,9,77.01,0.166,0.1394,nn,nn00523848,2016-03-18T01:12:59.040Z,"71km ESE of Lakeview, Oregon",earthquake,3.48,2.1,0.54,5,reviewed,nn,nn
2015-12-23T06:46:07.342Z,39.4309,-119.7845,9.7,4.4,ml,30,47.24,0.024,0.1587,nn,nn00523696,2016-03-12T02:29:22.040Z,"11km SSE of Reno, Nevada",earthquake,0.63,0.6,0.23,8,reviewed,nn,nn
2015-12-06T11:13:27.887Z,41.8575,-119.6317,10.5,4.1,ml,6,83.36,0.155,0.1467,nn,nn00521538,2016-03-02T03:36:34.040Z,"69km ESE of Lakeview, Oregon",earthquake,3.04,3.5,0.47,6,reviewed,nn,nn
2015-12-06T01:01:41.900Z,36.4703,-98.7606,6.126,4,mwr,,97,,0.64,us,us100044cf,2016-03-02T03:36:33.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.9,5.7,0.04,59,reviewed,tul,us
2015-11-30T09:49:12.800Z,36.7509,-98.0561,5.629,4.7,mwr,,176,,0.66,us,us1000424d,2016-03-25T13:59:56.000Z,"26km E of Cherokee, Oklahoma",earthquake,3,4.9,0.022,190,reviewed,tul,us
